Implemented,Number of Impacted Resources,Azure Service / Well-Architected,Recommendation Source,Azure Service Category / Well-Architected Area,Azure Service / Well-Architected Topic,Category,Recommendation,Impact,Best Practices Guidance,Read More,Recommendation Id
N/A,0,Azure Service,AOR,Microsoft.Network,publicIPAddresses,Governance,Public IPs not attached to any resource,Medium,"Public IPs not attached to any resource.
",https://learn.microsoft.com/en-us/azure/virtual-network/ip-services/public-ip-addresses,5e6f7a8b-9c0d-1e2f-3a4b-5c6d7e8f9a0b
N/A,0,Azure Service,APRL,Microsoft.DBforPostgreSQL,flexibleServers,DisasterRecovery,Configure one or more read replicas,High,"Configure one or more read replicas to ensure that your database meets its availability and durability targets even in the face of failures or disasters.
",https://learn.microsoft.com/azure/postgresql/flexible-server/concepts-read-replicas,2ab85a67-26be-4ed2-a0bb-101b2513ec63
N/A,0,Azure Service,APRL,Microsoft.DBforPostgreSQL,flexibleServers,Scalability,Configure storage auto-grow,High,"Configure storage auto-grow to prevent the server from running out of storage and becoming read-only.
",https://learn.microsoft.com/azure/postgresql/flexible-server/how-to-auto-grow-storage-portal,6293a3cc-6b4a-4c0f-9ea7-b8ae8d7dd3d5
N/A,0,Azure Service,APRL,Microsoft.DBforPostgreSQL,flexibleServers,HighAvailability,Enable HA with zone redundancy,High,"Enable HA with zone redundancy on flexible server instances to deploy a standby replica in a different zone, offering automatic failover capability for improved reliability and disaster recovery.
",https://learn.microsoft.com/azure/postgresql/flexible-server/concepts-high-availability,ca87914f-aac4-4783-ab67-82a6f936f194
N/A,0,Azure Service,APRL,Microsoft.DBforPostgreSQL,flexibleServers,Scalability,Enable custom maintenance schedule,High,"Use custom maintenance schedule on flexible server instances to select a preferred time for service updates to be applied.
",https://learn.microsoft.com/azure/postgresql/flexible-server/concepts-maintenance,b2bad57d-7e03-4c0f-9024-597c9eb295bb
N/A,0,Azure Service,APRL,Microsoft.DBforPostgreSQL,flexibleServers,DisasterRecovery,Configure geo redundant backup storage,High,"Configure GRS to ensure that your database meets its availability and durability targets even in the face of failures or disasters.
",https://learn.microsoft.com/azure/postgresql/flexible-server/concepts-backup-restore,31f4ac4b-29cb-4588-8de2-d8fe6f13ceb3
N/A,0,Azure Service,AZQR,Microsoft.DBforPostgreSQL,flexibleServers,Security,PostgreSQL should have private access enabled,High,PostgreSQL should have private access enabled,https://learn.microsoft.com/azure/postgresql/flexible-server/concepts-networking-private-link,psqlf-004
N/A,0,Azure Service,AZQR,microsoft.dbforpostgresql,flexibleservers,MonitoringAndAlerting,PostgreSQL should have diagnostic settings enabled,Low,,https://learn.microsoft.com/en-us/azure/postgresql/flexible-server/howto-configure-and-access-logs,psqlf-001
N/A,0,Azure Service,AZQR,Microsoft.SignalRService,SignalR,Security,SignalR should have private endpoints enabled,High,SignalR should have private endpoints enabled,https://learn.microsoft.com/azure/azure-signalr/howto-private-endpoints,sigr-004
N/A,0,Azure Service,APRL,Microsoft.SignalRService,SignalR,HighAvailability,Enable zone redundancy for SignalR,High,"Use SignalR with zone redundancy for production to improve uptime. This feature, available in the Premium tier, is activated upon creating or upgrading to Premium. Standard can upgrade to Premium without downtime.
",https://learn.microsoft.com/azure/azure-signalr/availability-zones,6a8b3db9-5773-413a-a127-4f7032f34bbd
N/A,0,Azure Service,AZQR,microsoft.signalrservice,signalr,MonitoringAndAlerting,SignalR should have diagnostic settings enabled,Low,,https://learn.microsoft.com/en-us/azure/azure-signalr/signalr-howto-diagnostic-logs,sigr-001
false,1,Azure Service,APRL,Microsoft.Web,serverFarms,Scalability,Set minimum instance count to 2 for app service,High,"App Service should be configured with a minimum of two instances for production workloads. If apps have a longer warmup time a minimum of three instances should be used.
",https://azure.github.io/AppService/2020/05/15/Robust-Apps-for-the-cloud.html,855ca19a-6518-4f2e-9e5a-01796fbca9f8
false,1,Azure Service,APRL,Microsoft.Web,serverFarms,HighAvailability,Migrate App Service to availability Zone Support,High,"Azure's feature of deploying App Service plans across availability zones enhances resiliency and reliability by ensuring operation during datacenter failures, providing redundancy without needing different regions, thus minimizing downtime and maintaining uninterrupted services.
",https://learn.microsoft.com/azure/reliability/migrate-app-service,88cb90c2-3b99-814b-9820-821a63f600dd
true,0,Azure Service,AOR,Microsoft.Web,serverFarms,Governance,App Service plans without hosting Apps,Medium,"App Service plans without hosting Apps.
",https://learn.microsoft.com/en-us/azure/app-service/overview-hosting-plans,1a2b3c4d-5e6f-7a8b-9c0d-1e2f3a4b5c6d
true,0,Azure Service,APRL,Microsoft.Web,serverFarms,HighAvailability,Use Standard or Premium tier,High,"Choose Standard/Premium Azure App Service Plan for robust apps with advanced scaling, high availability, better performance, and multiple slots, ensuring resilience and continuous operation.
",https://learn.microsoft.com/azure/architecture/checklist/resiliency-per-service#app-service,b2113023-a553-2e41-9789-597e2fb54c31
false,1,Azure Service,AZQR,microsoft.web,serverfarms,MonitoringAndAlerting,Plan should have diagnostic settings enabled,Low,,,asp-001
N/A,0,Azure Service,AZQR,Microsoft.DBforMySQL,servers,HighAvailability,Azure Database for MySQL - Single Server is on the retirement path,High,Azure Database for MySQL - Single Server is on the retirement path,https://learn.microsoft.com/azure/mysql/single-server/whats-happening-to-mysql-single-server,mysql-007
N/A,0,Azure Service,AZQR,Microsoft.DBforMySQL,servers,Security,Azure Database for MySQL - Single Server should have private endpoints enabled,High,Azure Database for MySQL - Single Server should have private endpoints enabled,https://learn.microsoft.com/azure/mysql/single-server/concepts-data-access-security-private-link,mysql-004
N/A,0,Azure Service,AZQR,microsoft.dbformysql,servers,MonitoringAndAlerting,Azure Database for MySQL - Single Server should have diagnostic settings enabled,Low,,https://learn.microsoft.com/en-us/azure/mysql/single-server/concepts-monitoring#server-logs,mysql-001
N/A,0,Azure Service,AZQR,Microsoft.ServiceBus,namespaces,Security,Service Bus should have private endpoints enabled,High,Service Bus should have private endpoints enabled,https://learn.microsoft.com/azure/service-bus-messaging/private-link-service,sb-004
N/A,0,Azure Service,AZQR,Microsoft.ServiceBus,namespaces,Security,Service Bus should have local authentication disabled,Medium,Service Bus should have local authentication disabled,https://learn.microsoft.com/azure/service-bus-messaging/disable-local-authentication,sb-008
N/A,0,Azure Service,AZQR,microsoft.servicebus,namespaces,MonitoringAndAlerting,Service Bus should have diagnostic settings enabled,Low,,https://learn.microsoft.com/en-us/azure/service-bus-messaging/monitor-service-bus#collection-and-routing,sb-001
N/A,0,Azure Service,APRL,Microsoft.ServiceBus,namespaces,ServiceUpgradeAndRetirement,Configure the minimum TLS version for Service Bus namespaces to TLS v1.2 or higher,High,"As of 31 October 2024, TLS 1.0 and TLS 1.1 will no longer be supported on Azure including Service Bus to enhance security and provide best-in-class encryption for your data. Change the minimum TLS version for your Service Bus namespace to TLS v1.2 or higher.
",https://learn.microsoft.com/azure/service-bus-messaging/transport-layer-security-configure-minimum-version,f075a1bd-de9e-4819-9a1d-1ac41037a74f
N/A,0,Azure Service,AOR,Microsoft.Sql,servers,Governance,SQL elastic pool without databases,Medium,"SQL elastic pool without databases.
",https://learn.microsoft.com/en-us/azure/azure-sql/database/elastic-pool-overview,4d5e6f7a-8b9c-0d1e-2f3a-4b5c6d7e8f9a
N/A,0,Azure Service,APRL,Microsoft.Subscription,Subscriptions,OtherBestPractices,Do not create more than 4000 Citrix VDA servers per subscription,High,"A Citrix Managed Azure subscription supports VMs with VDA for app/desktop delivery, excluding other machines like Cloud Connectors. When close to the limit, signaled by a dashboard notification, and with sufficient licenses, request another subscription. Can't exceed the given limits for catalogs.
",https://docs.citrix.com/en-us/citrix-daas-azure/limits,c041d596-6c97-4c5f-b4b3-9cd37628f2e2
N/A,0,Azure Service,APRL,Microsoft.Subscription,Subscriptions,MonitoringAndAlerting,Configure Service Health Alerts,High,"Service health gives a personalized health view of Azure services and regions used, offering the best place for notifications on outages, planned maintenance, and health advisories by knowing the services used.
",https://learn.microsoft.com/azure/service-health/alerts-activity-log-service-notifications-portal,9729c89d-8118-41b4-a39b-e12468fa872b
N/A,0,Azure Service,APRL,Microsoft.Compute,virtualMachines,HighAvailability,Use maintenance configurations for the Dedicated and/or Isolated VM SKUs,Medium,"The maintenance configuration settings let users schedule and manage updates, making sure the updates or interruptions on the VM are performed within a planned timeframe.
",https://learn.microsoft.com/azure/virtual-machines/maintenance-configurations,52ab9e5c-eec0-3148-8bd7-b6dd9e1be870
N/A,0,Azure Service,APRL,Microsoft.Compute,virtualMachines,HighAvailability,Migrate VMs using availability sets to VMSS Flex,High,"While availability sets are not scheduled for immediate deprecation, they are planned to be deprecated in the future. Migrate workloads from VMs to VMSS Flex for deployment across zones or within the same zone across different fault domains (FDs) for better reliability.
",https://learn.microsoft.com/azure/virtual-machine-scale-sets/flexible-virtual-machine-scale-sets-migration-resources,a8d25876-7951-b646-b4e8-880c9031596b
N/A,0,Azure Service,APRL,Microsoft.Compute,virtualMachines,HighAvailability,Reserve Compute Capacity for critical workloads,High,"Azure Capacity Reservations ensure high availability for virtual machines by reserving compute capacity in advance within a specific region or availability zone. This guarantees that VMs will have the necessary resources during peak demand or maintenance events, enhancing reliability and uptime.
",https://aka.ms/on-demand-capacity-reservations-docs,302fda08-ee65-4fbe-a916-6dc0b33169c4
N/A,0,Azure Service,APRL,Microsoft.Compute,virtualMachines,Scalability,Enable Accelerated Networking (AccelNet),Medium,"Accelerated networking enables SR-IOV to a VM, greatly improving its networking performance by bypassing the host from the data path, which reduces latency, jitter, and CPU utilization for demanding network workloads on supported VM types.
",https://learn.microsoft.com/azure/virtual-network/accelerated-networking-overview,dfedbeb1-1519-fc47-86a5-52f96cf07105
N/A,0,Azure Service,APRL,Microsoft.Compute,virtualMachines,MonitoringAndAlerting,Enable VM Insights,Low,"VM Insights monitors VM and scale set performance, health, running processes, and dependencies. It enhances the predictability of application performance and availability by pinpointing performance bottlenecks and network issues, and it clarifies if problems are related to other dependencies.
",https://learn.microsoft.com/azure/azure-monitor/vm/vminsights-overview,b72214bb-e879-5f4b-b9cd-642db84f36f4
N/A,0,Azure Service,APRL,Microsoft.Compute,virtualMachines,HighAvailability,Use Managed Disks for VM disks,High,"Azure is retiring unmanaged disks on September 30, 2025. Users should plan the migration to avoid disruptions and maintain service reliability.
",https://learn.microsoft.com/azure/virtual-machines/unmanaged-disks-deprecation,122d11d7-b91f-8747-a562-f56b79bcfbdc
N/A,0,Azure Service,APRL,Microsoft.Compute,virtualMachines,DisasterRecovery,Replicate VMs using Azure Site Recovery,Medium,"Replicating Azure VMs via Site Recovery entails continuous, asynchronous disk replication to a target region. Recovery points are generated every few minutes, ensuring a Recovery Point Objective (RPO) in minutes.
",https://learn.microsoft.com/azure/architecture/checklist/resiliency-per-service#virtual-machines,cfe22a65-b1db-fd41-9e8e-d573922709ae
N/A,0,Azure Service,APRL,Microsoft.Compute,virtualMachines,DisasterRecovery,Backup VMs with Azure Backup service,Medium,"Enable backups for your virtual machines with Azure Backup to secure and quickly recover your data. This service offers simple, secure, and cost-effective solutions for backing up and recovering data from the Microsoft Azure cloud.
",https://learn.microsoft.com/azure/backup/backup-overview,1981f704-97b9-b645-9c57-33f8ded9261a
N/A,0,Azure Service,APRL,Microsoft.Compute,virtualMachines,DisasterRecovery,Validate VM functionality with a Site Recovery test failover to check performance at target,High,"Perform a test failover to validate your BCDR strategy and ensure that your applications are functioning correctly in the target region without impacting your production environment. Test your Disaster Recovery plan periodically without any data loss or downtime, using test failovers.
",https://learn.microsoft.com/azure/site-recovery/azure-to-azure-tutorial-dr-drill#run-a-test-failover,17e877f7-3a89-4205-8a24-0670de54ddcd
N/A,0,Azure Service,APRL,Microsoft.Compute,virtualMachines,Scalability,Don't use A or B-Series VMs for production needing constant full CPU performance,High,"A-series VMs are tailored for entry-level workloads like development and testing, including use cases such as development and test servers, low traffic web servers, and small to medium databases.
",https://learn.microsoft.com/azure/virtual-machines/sizes-b-series-burstable,3201dba8-d1da-4826-98a4-104066545170
N/A,0,Azure Service,APRL,Microsoft.Compute,virtualMachines,HighAvailability,Run production workloads on two or more VMs using VMSS Flex,High,"Production VM workloads should be deployed on multiple VMs and grouped in a VMSS Flex instance to intelligently distribute across the platform, minimizing the impact of platform faults and updates.
",https://learn.microsoft.com/azure/virtual-machine-scale-sets/virtual-machine-scale-sets-orchestration-modes#what-has-changed-with-flexible-orchestration-mode,273f6b30-68e0-4241-85ea-acf15ffb60bf
N/A,0,Azure Service,APRL,Microsoft.Compute,virtualMachines,HighAvailability,Deploy VMs across Availability Zones,High,"Azure Availability Zones, within each Azure region, are tolerant to local failures, protecting applications and data against unlikely Datacenter failures by being physically separate.
",https://learn.microsoft.com/azure/virtual-machines/create-portal-availability-zone?tabs=standard,2bd0be95-a825-6f47-a8c6-3db1fb5eb387
N/A,0,Azure Service,APRL,Microsoft.Compute,virtualMachines,Scalability,Mission Critical Workloads should consider using Premium or Ultra Disks,High,"Compared to Standard HDD and SSD, Premium SSD, SSD v2, and Ultra Disks offer improved performance, configurability, and higher single-instance VM uptime SLAs. The lowest SLA of all disks on a VM applies, so it is best to use Premium or Ultra Disks for the highest uptime SLA.
",https://learn.microsoft.com/azure/virtual-machines/disks-types#disk-type-comparison,df0ff862-814d-45a3-95e4-4fad5a244ba6
N/A,0,Azure Service,APRL,Microsoft.Compute,virtualMachines,OtherBestPractices,IP Forwarding should only be enabled for Network Virtual Appliances,Medium,"IP forwarding allows a virtual machine network interface to receive and send network traffic not destined for or originating from its assigned IP addresses.
",https://learn.microsoft.com/azure/virtual-network/virtual-network-network-interface?tabs=network-interface-portal#enable-or-disable-ip-forwarding,41a22a5e-5e08-9647-92d0-2ffe9ef1bdad
N/A,0,Azure Service,APRL,Microsoft.Compute,virtualMachines,OtherBestPractices,"When AccelNet is enabled, you must manually update the GuestOS NIC driver",Low,"When Accelerated Networking is enabled, the default Azure VNet interface in GuestOS is swapped for a Mellanox, and its driver comes from a 3rd party. Marketplace images have the latest Mellanox drivers, but post-deployment, updating the driver is the user's responsibility.
",https://learn.microsoft.com/azure/virtual-network/accelerated-networking-overview,73d1bb04-7d3e-0d47-bc0d-63afe773b5fe
N/A,0,Azure Service,AZQR,microsoft.network,virtualwans,MonitoringAndAlerting,Virtual WAN should have diagnostic settings enabled,Low,,https://learn.microsoft.com/en-us/azure/virtual-wan/monitor-virtual-wan,vwa-001
N/A,0,Azure Service,AZQR,microsoft.dbformariadb,servers,MonitoringAndAlerting,MariaDB should have diagnostic settings enabled,Low,,,maria-001
N/A,0,Azure Service,APRL,Microsoft.ContainerService,managedClusters,HighAvailability,Deploy AKS cluster across availability zones,High,"Azure Availability Zones ensure high availability by offering independent locations within regions, equipped with their own power, cooling, and networking to ensure applications and data are protected from datacenter-level failures.
",https://learn.microsoft.com/azure/aks/availability-zones,4f63619f-5001-439c-bacb-8de891287727
N/A,0,Azure Service,APRL,Microsoft.ContainerService,managedClusters,DisasterRecovery,Back up Azure Kubernetes Service,Low,"AKS, popular for stateful apps needing backups, can now use Azure Backup to secure clusters and attached volumes through an installed Backup Extension, enabling backup and restore operations via a Backup Vault.
",https://learn.microsoft.com/azure/backup/azure-kubernetes-service-cluster-backup,269a9f1a-6675-460a-831e-b05a887a8c4b
N/A,0,Azure Service,AZQR,microsoft.containerservice,managedclusters,MonitoringAndAlerting,AKS Cluster should have diagnostic settings enabled,Low,,https://learn.microsoft.com/en-us/azure/aks/monitor-aks#collect-resource-logs,aks-001
N/A,0,Azure Service,APRL,Microsoft.ContainerService,managedClusters,HighAvailability,Configure user nodepool count,High,"Configuring the user node pool with at least two nodes is essential for applications needing high availability, ensuring they remain operational and accessible without interruption.
",https://learn.microsoft.com/azure/well-architected/service-guides/azure-kubernetes-service#design-checklist,005ccbbd-aeab-46ef-80bd-9bd4479412ec
N/A,0,Azure Service,APRL,Microsoft.ContainerService,managedClusters,OtherBestPractices,Upgrade Persistent Volumes using in-tree drivers to Azure CSI drivers,High,"From Kubernetes 1.26, Azure Disk and Azure File in-tree drivers are deprecated in favor of CSI drivers. Existing deployments remain operational but untested; users should switch to CSI drivers for new features and SKUs.
",https://learn.microsoft.com/azure/aks/csi-storage-drivers,b002c030-72e6-4a37-8217-1cb276c43169
N/A,0,Azure Service,APRL,Microsoft.ContainerService,managedClusters,Scalability,Configure Azure CNI networking for dynamic allocation of IPs or use CNI overlay,Medium,"Azure CNI enhances cluster IP and network management, allowing dynamic IP allocation, scalable subnets, direct pod-VNET connectivity, and supports diverse network policies for pods and nodes with Azure Network Policies and Calico, optimizing network efficiency and security
",https://learn.microsoft.com/azure/aks/configure-azure-cni-dynamic-ip-allocation,c22db132-399b-4e7c-995d-577a60881be8
N/A,0,Azure Service,APRL,Microsoft.ContainerService,managedClusters,HighAvailability,Isolate system and application pods,High,"AKS assigns the kubernetes.azure.com/mode: system label to nodes in system node pools signaling the preference for system pods should be scheduled there. The CriticalAddonsOnly=true:NoSchedule taint can be added to your system nodes to prohibit application pods from being scheduled on them.
",https://learn.microsoft.com/azure/aks/use-system-pools?tabs=azure-cli#system-and-user-node-pools,5ee083cd-6ac3-4a83-8913-9549dd36cf56
N/A,0,Azure Service,AZQR,Microsoft.ContainerService,managedClusters,Security,AKS should integrate authentication with AAD (Managed),Medium,AKS should integrate authentication with AAD (Managed),https://learn.microsoft.com/azure/aks/managed-azure-ad,aks-007
N/A,0,Azure Service,AZQR,Microsoft.ContainerService,managedClusters,Security,AKS should have httpApplicationRouting disabled,Medium,AKS should have httpApplicationRouting disabled,https://learn.microsoft.com/azure/aks/http-application-routing,aks-010
N/A,0,Azure Service,APRL,Microsoft.ContainerService,managedClusters,HighAvailability,Configure system nodepool count,High,"The system node pool should be configured with a minimum node count of three to ensure critical system pods are resilient to node outages.
",https://learn.microsoft.com/azure/aks/use-system-pools?tabs=azure-cli,7f7ae535-a5ba-4665-b7e0-c451dbdda01f
N/A,0,Azure Service,AZQR,Microsoft.ContainerService,managedClusters,Scalability,AKS Node Pools should have MaxSurge set,Low,AKS Node Pools should have MaxSurge set,https://learn.microsoft.com/azure/aks/upgrade-aks-cluster,aks-016
N/A,0,Azure Service,APRL,Microsoft.ContainerService,managedClusters,Scalability,Enable the cluster auto-scaler on an existing cluster,High,"The cluster auto-scaler in AKS adjusts node counts based on pod resource needs and available capacity, enabling scaling as per demand to prevent outages.
",https://learn.microsoft.com/azure/aks/cluster-autoscaler?tabs=azure-cli,902c82ff-4910-4b61-942d-0d6ef7f39b67
N/A,0,Azure Service,APRL,Microsoft.ContainerService,managedClusters,MonitoringAndAlerting,Enable AKS Monitoring,High,"Azure Monitor enables real-time health and performance insights for AKS by collecting events, capturing container logs, and gathering CPU/Memory data from the Metrics API. It allows data visualization using Azure Monitor Container Insights, Prometheus, Grafana, or others.
",https://learn.microsoft.com/azure/aks/monitor-aks,dcaf8128-94bd-4d53-9235-3a0371df6b74
N/A,0,Azure Service,APRL,Microsoft.ContainerService,managedClusters,HighAvailability,Update AKS tier to Standard or Premium,High,"Production AKS clusters require the Standard or Premium tier for a financially backed SLA and enhanced node scalability, as the free service lacks these features. Use the Premium tier for mission-critical workloads.
",https://learn.microsoft.com/azure/aks/free-standard-pricing-tiers,0611251f-e70f-4243-8ddd-cfe894bec2e7
N/A,0,Azure Service,AZQR,Microsoft.ContainerService,managedClusters,Security,AKS Cluster should be private,High,AKS Cluster should be private,https://learn.microsoft.com/azure/aks/private-clusters,aks-004
N/A,0,Azure Service,AZQR,Microsoft.ContainerService,managedClusters,Security,AKS should have outbound type set to user defined routing,High,AKS should have outbound type set to user defined routing,https://learn.microsoft.com/azure/aks/limit-egress-traffic,aks-012
N/A,0,Azure Service,AOR,Microsoft.Web,certificates,Governance,Expired certificates,Medium,"Expired certificates.
",https://learn.microsoft.com/en-us/azure/app-service/configure-ssl-certificate,3e4f5a6b-7c8d-9e0f-1a2b-3c4d5e6f7a8b
N/A,0,Azure Service,APRL,Microsoft.Network,connections,Scalability,For better data path performance enable FastPath on ExpressRoute Connections,Medium,"ExpressRoute gateways facilitate network traffic and route exchanges. FastPath enhances on-premises to virtual network data path performance by directing traffic straight to virtual machines, bypassing the gateway for improved resiliency through reduced gateway utilization.
",https://learn.microsoft.com/azure/expressroute/about-fastpath,f6a14b32-a727-4ace-b5fa-7b1c6bdff402
N/A,0,Azure Service,AZQR,Microsoft.ContainerRegistry,registries,Governance,ContainerRegistry should use retention policies,Medium,ContainerRegistry should use retention policies,https://learn.microsoft.com/azure/container-registry/container-registry-retention-policy,cr-010
N/A,0,Azure Service,AZQR,Microsoft.ContainerRegistry,registries,Security,ContainerRegistry should have private endpoints enabled,High,ContainerRegistry should have private endpoints enabled,https://learn.microsoft.com/azure/container-registry/container-registry-private-link,cr-004
N/A,0,Azure Service,APRL,Microsoft.ContainerRegistry,registries,HighAvailability,Enable zone redundancy,Medium,"Azure Container Registry's optional zone redundancy enhances resiliency and high availability for registries or replication resources in a specific region by distributing resources across multiple zones.
",https://learn.microsoft.com/azure/container-registry/zone-redundancy?toc=%2Fazure%2Freliability%2Ftoc.json&bc=%2Fazure%2Freliability%2Fbreadcrumb%2Ftoc.json&branch=main,63491f70-22e4-3b4a-8b0c-845450e46fac
N/A,0,Azure Service,APRL,Microsoft.ContainerRegistry,registries,DisasterRecovery,Enable soft delete policy,Low,"Enabling soft delete preview feature in Azure Container Registry (ACR) allows for the management of deleted artifacts with a specified retention period. Users can list, filter, and restore these artifacts until automatically purged post-retention.
",https://learn.microsoft.com/azure/container-registry/container-registry-soft-delete-policy,e7f0fd54-fba0-054e-9ab8-e676f2851f88
N/A,0,Azure Service,AZQR,Microsoft.ContainerRegistry,registries,Security,ContainerRegistry should have the Administrator account disabled,Medium,ContainerRegistry should have the Administrator account disabled,https://learn.microsoft.com/azure/container-registry/container-registry-authentication-managed-identity,cr-008
N/A,0,Azure Service,APRL,Microsoft.ContainerRegistry,registries,DisasterRecovery,Create container registries with geo-replication enabled,High,"Use Azure Container Registry's geo-replication for multi-region deployments to simplify registry management and minimize latency. It enables serving global customers from local data centers and supports distributed development teams. Regional webhooks can notify of events in replicas.
",https://learn.microsoft.com/azure/container-registry/container-registry-best-practices#geo-replicate-multi-region-deployments,36ea6c09-ef6e-d743-9cfb-bd0c928a430b
N/A,0,Azure Service,AZQR,microsoft.containerregistry,registries,MonitoringAndAlerting,ContainerRegistry should have diagnostic settings enabled,Low,,https://learn.microsoft.com/en-us/azure/container-registry/monitor-service,cr-001
N/A,0,Azure Service,APRL,Microsoft.ContainerRegistry,registries,OtherBestPractices,Disable anonymous pull access,Medium,"By default, Azure container registry requires authentication for pull/push actions. Enabling anonymous pull access exposes all content for public read actions. This applies to all repositories, potentially allowing unrestricted access if repository-scoped tokens are used.
",https://learn.microsoft.com/azure/container-registry/anonymous-pull-access#about-anonymous-pull-access,03f4a7d8-c5b4-7842-8e6e-14997a34842b
N/A,0,Azure Service,APRL,Microsoft.ContainerRegistry,registries,HighAvailability,Use Premium tier for critical production workloads,High,"Choose a service tier of Azure Container Registry to meet your performance needs. Premium offers the most bandwidth and highest rate of read and write operations for high-volume deployments. Use Basic to start, Standard for production, and Premium for hyper-scale performance and geo-replication.
",https://learn.microsoft.com/azure/container-registry/container-registry-best-practices,eb005943-40a8-194b-9db2-474d430046b7
N/A,0,Azure Service,AZQR,microsoft.network,trafficmanagerprofiles,MonitoringAndAlerting,Traffic Manager should have diagnostic settings enabled,Low,,https://learn.microsoft.com/en-us/azure/traffic-manager/traffic-manager-diagnostic-logs,traf-001
N/A,0,Azure Service,APRL,Microsoft.Network,trafficManagerProfiles,HighAvailability,Traffic manager profiles should have more than one endpoint,Medium,"When configuring the Azure traffic manager, provision at least two endpoints to ensure workloads can fail-over to another instance, enhancing reliability and availability.
",https://learn.microsoft.com/azure/traffic-manager/traffic-manager-endpoint-types,5b422a7f-8caa-3d48-becb-511599e5bba9
N/A,0,Azure Service,APRL,Microsoft.Network,trafficManagerProfiles,DisasterRecovery,Ensure endpoint configured to (All World) for geographic profiles,High,"For geographic routing, traffic is directed to endpoints based on specific regions. If a region fails, without a predefined failover, configuring an endpoint to ""All (World)"" for geographic profiles can prevent traffic black holes, ensuring service remains available.
",https://learn.microsoft.com/azure/advisor/advisor-reference-reliability-recommendations#add-an-endpoint-configured-to-all-world,c31f76a0-48cd-9f44-aa43-99ee904db9bc
N/A,0,Azure Service,APRL,Microsoft.Network,trafficManagerProfiles,BusinessContinuity,Avoid combining Traffic Manager and Front Door,High,"For most solutions, choose either Azure Front Door for content caching, CDN, TLS termination, and WAF, or Traffic Manager for simple global load balancing.
",https://learn.microsoft.com/azure/architecture/guide/technology-choices/load-balancing-overview,9437634c-d69e-2747-b13e-631c13182150
N/A,0,Azure Service,APRL,Microsoft.Network,trafficManagerProfiles,HighAvailability,Traffic Manager Monitor Status Should be Online,High,"Monitor status should be online to ensure failover for application workload. If Traffic Manager's health shows Degraded, one or more endpoints may also be Degraded.
",https://learn.microsoft.com/azure/traffic-manager/traffic-manager-monitoring,f05a3e6d-49db-2740-88e2-2b13706c1f67
N/A,0,Azure Service,AOR,Microsoft.Network,trafficManagerProfiles,Governance,Traffic Manager without endpoints,Medium,"Traffic Manager without endpoints.
",https://learn.microsoft.com/en-us/azure/traffic-manager/traffic-manager-overview,1e2f3a4b-5c6d-7e8f-9a0b-1c2d3e4f5a6b
N/A,0,Azure Service,AZQR,Microsoft.Network,trafficManagerProfiles,Security,Traffic Manager: HTTP endpoints should be monitored using HTTPS,High,Traffic Manager: HTTP endpoints should be monitored using HTTPS,https://learn.microsoft.com/azure/traffic-manager/traffic-manager-monitoring,traf-009
N/A,0,Azure Service,APRL,Microsoft.AppConfiguration,configurationStores,OtherBestPractices,Enable Purge protection for Azure App Configuration,Low,"With Purge protection enabled, soft deleted stores can't be purged in the retention period. If disabled, the soft deleted store can be purged before the retention period expires.
",https://learn.microsoft.com/azure/azure-app-configuration/concept-soft-delete#purge-protection,bb4c8db4-f821-475b-b1ea-16e95358665e
N/A,0,Azure Service,APRL,Microsoft.AppConfiguration,configurationStores,HighAvailability,Upgrade to App Configuration Standard tier,High,"SLA is not available for Free tier. Upgrade to the Standard tier to get an SLA of 99.9%
",https://learn.microsoft.com/en-us/azure/azure-app-configuration/faq#which-app-configuration-tier-should-i-use,2102a57a-a056-4d5e-afe5-9df9f92177ca
N/A,0,Azure Service,AZQR,Microsoft.AppConfiguration,configurationStores,Security,AppConfiguration should have private endpoints enabled,High,AppConfiguration should have private endpoints enabled,https://learn.microsoft.com/azure/azure-app-configuration/concept-private-endpoint,appcs-004
N/A,0,Azure Service,AZQR,Microsoft.AppConfiguration,configurationStores,Security,AppConfiguration should have local authentication disabled,Medium,AppConfiguration should have local authentication disabled,https://learn.microsoft.com/azure/azure-app-configuration/howto-disable-access-key-authentication,appcs-008
N/A,0,Azure Service,AZQR,microsoft.appconfiguration,configurationstores,MonitoringAndAlerting,AppConfiguration should have diagnostic settings enabled,Low,,https://learn.microsoft.com/en-us/azure/azure-app-configuration/monitor-app-configuration?tabs=portal,appcs-001
false,2,Azure Service,AZQR,Microsoft.Web,sites,Security,App Service should use VNET integration,Medium,App Service should use virtual network integration to securely access resources in Azure virtual networks.,https://learn.microsoft.com/en-us/azure/app-service/overview-vnet-integration,app-009
false,1,Azure Service,APRL,Microsoft.Web,sites,OtherBestPractices,Enable Health check for App Services,High,"Use Health Check for production workloads. Health check increases your application's availability by rerouting requests away from unhealthy instances, and replacing instances if they remain unhealthy. The Health check path should check critical components of your application.
",https://learn.microsoft.com/azure/app-service/monitor-instances-health-check?tabs=dotnet#enable-health-check,fd049c28-ae6d-48f0-a641-cc3ba1a3fe1d
